,Return,Risk
ADBE,0.03049264378252912,0.03701067734055613
A,0.03204909708513293,0.03483092672590395
ALB,0.0399938188701062,0.059843422189593404
ALGN,0.0665302185424001,0.06277481456323593
ALL,0.0249293496644076,0.0332035946132797
AXP,0.028870222831633326,0.04054778002452063
AME,0.03115547208839111,0.03888736875515718
APH,0.02099779972055202,0.02472419155394394
AON,0.02320090456965921,0.025768984495984
AMAT,0.04450899538566906,0.05749226433583391
APTV,0.03607126421553127,0.05126319056704581
ANET,0.07218648209922279,0.08588897987673663
ATO,0.016520992598318865,0.023394824388082373
BIO,0.02926006150621678,0.04229561987262689
BA,0.05415503612225907,0.04743712038507256
CDNS,0.03669055935379416,0.05321196037520777
CCL,0.029589791317757415,0.03302013726208979
CE,0.03620092600209695,0.05012743547374805
CNP,0.02511868261506005,0.029420272673540922
CI,0.03557616791773204,0.040246286209900194
CTSH,0.03180711698715051,0.042217841693700076
CPRT,0.01903395158152499,0.027906054486038518
ELV,0.03922590091628429,0.05245141121796124
FMC,0.05806257947463081,0.07063183498864684
FTV,0.029415071192449415,0.035044647235088974
HON,0.020958409744522788,0.025328738819537972
ISRG,0.03569668247101028,0.0512672396946359
LRCX,0.05173844236859862,0.058685750533284106
LW,0.036001787743069974,0.052416400002533906
LYV,0.03816250576319352,0.04383695865142913
MAR,0.041834119835839206,0.057404972069283994
MA,0.02738930931944462,0.026661857359285696
MCD,0.029671557245912396,0.032226585132750084
MTD,0.038114121942969724,0.05259788661347017
MCHP,0.034744767283955036,0.04514242426969724
MU,0.06516614737455062,0.07878070932820176
MSFT,0.021527220165928635,0.023290948789207136
MHK,0.02336710794650979,0.032342421687149236
MPWR,0.025050462831676654,0.03816732149084757
MSCI,0.030208280895847907,0.04443909696708254
NVDA,0.09306103054074907,0.13715374418075027
NVR,0.05064489055011992,0.043945493108611657
PKG,0.03135942802629629,0.04524806512050562
PYPL,0.03950795211016642,0.05080303501094316
PGR,0.03438823508599678,0.0335629098247799
RSG,0.024544832175878262,0.030318840921626556
ROK,0.033761848953706194,0.04372596156229072
ROL,0.04008180795674889,0.04625844150805903
ROP,0.027793609727032185,0.037821246687131584
RCL,0.045916190072710764,0.054935197649727964
SNPS,0.026967882854183507,0.03992143919386807
TTWO,0.0746366672661287,0.07071813988446808
TER,0.047305627431323896,0.06533123550645124
UNH,0.03078451232683346,0.034109687210023734
VRSN,0.026055373255766345,0.028733109364346903
V,0.02139092928381596,0.03170392756639966
